output,parameter,mu_star,sigma,rank,samples,seeds,seconds
final_net_energy,p_new_multiplier,703429.0416666666,141302.70832862757,1,8,3,1500.0
final_net_energy,n_robots,653238.2291666667,375531.2796280344,2,8,3,1500.0
final_net_energy,gamma_r_scale,174887.3333333333,110397.99210259542,3,8,3,1500.0
final_net_energy,congestion_tolerance,133562.16666666666,192936.50777567638,4,8,3,1500.0
final_net_energy,alpha,40392.68750000002,45272.923252797955,5,8,3,1500.0
final_net_energy,lambda_loss,39891.06249999997,48343.70443770296,6,8,3,1500.0
final_net_energy,sector_decay,0.0,0.0,7,8,3,1500.0
final_net_energy,sector_pull,0.0,0.0,8,8,3,1500.0
final_net_energy,sector_reward,0.0,0.0,9,8,3,1500.0
final_net_energy_per_robot,p_new_multiplier,11491.026692708332,3939.8335317961314,1,8,3,1500.0
final_net_energy_per_robot,n_robots,9401.48779296875,9278.12261304792,2,8,3,1500.0
final_net_energy_per_robot,gamma_r_scale,2624.813151041666,1552.7369597330369,3,8,3,1500.0
final_net_energy_per_robot,congestion_tolerance,1582.0820312499998,2094.351979008898,4,8,3,1500.0
final_net_energy_per_robot,lambda_loss,631.5068359374998,716.4723536311008,5,8,3,1500.0
final_net_energy_per_robot,alpha,588.5579427083335,681.3973292074462,6,8,3,1500.0
final_net_energy_per_robot,sector_decay,0.0,0.0,7,8,3,1500.0
final_net_energy_per_robot,sector_pull,0.0,0.0,8,8,3,1500.0
final_net_energy_per_robot,sector_reward,0.0,0.0,9,8,3,1500.0
mean_active_fraction,n_robots,0.1411818576388889,0.17610586560737687,1,8,3,1500.0
mean_active_fraction,congestion_tolerance,0.11293836805555553,0.18777109460016847,2,8,3,1500.0
mean_active_fraction,p_new_multiplier,0.08361892361111113,0.09642953161448439,3,8,3,1500.0
mean_active_fraction,gamma_r_scale,0.04019444444444449,0.06392567960546712,4,8,3,1500.0
mean_active_fraction,lambda_loss,0.02533116319444445,0.02753361249742327,5,8,3,1500.0
mean_active_fraction,alpha,0.015707031250000003,0.016889929795116873,6,8,3,1500.0
mean_active_fraction,sector_decay,0.0,0.0,7,8,3,1500.0
mean_active_fraction,sector_pull,0.0,0.0,8,8,3,1500.0
mean_active_fraction,sector_reward,0.0,0.0,9,8,3,1500.0
mean_collision_probability,n_robots,0.06749544417158548,0.021684028708453124,1,8,3,1500.0
mean_collision_probability,gamma_r_scale,0.0403858765513566,0.01980082276076327,2,8,3,1500.0
mean_collision_probability,congestion_tolerance,0.014653198769428324,0.023268760601838284,3,8,3,1500.0
mean_collision_probability,p_new_multiplier,0.005867027217696929,0.008307328521875912,4,8,3,1500.0
mean_collision_probability,lambda_loss,0.0009056945067729824,0.0009449420349631006,5,8,3,1500.0
mean_collision_probability,alpha,0.0005780446718724199,0.0007305132416034214,6,8,3,1500.0
mean_collision_probability,sector_decay,0.0,0.0,7,8,3,1500.0
mean_collision_probability,sector_pull,0.0,0.0,8,8,3,1500.0
mean_collision_probability,sector_reward,0.0,0.0,9,8,3,1500.0
mean_weighted_search_rest_ratio,lambda_loss,0.08303233444789654,0.08756515335007688,1,8,3,1500.0
mean_weighted_search_rest_ratio,n_robots,0.07275099455222611,0.08212449604703184,2,8,3,1500.0
mean_weighted_search_rest_ratio,p_new_multiplier,0.05599172345065706,0.05741628144716548,3,8,3,1500.0
mean_weighted_search_rest_ratio,gamma_r_scale,0.04919331076953637,0.06269492528632506,4,8,3,1500.0
mean_weighted_search_rest_ratio,alpha,0.048836690738434274,0.05118557843220616,5,8,3,1500.0
mean_weighted_search_rest_ratio,congestion_tolerance,0.044973283738201086,0.05859690278871064,6,8,3,1500.0
mean_weighted_search_rest_ratio,sector_decay,0.0,0.0,7,8,3,1500.0
mean_weighted_search_rest_ratio,sector_pull,0.0,0.0,8,8,3,1500.0
mean_weighted_search_rest_ratio,sector_reward,0.0,0.0,9,8,3,1500.0
throughput,p_new_multiplier,0.23372222222222222,0.06691709907152393,1,8,3,1500.0
throughput,n_robots,0.1476111111111111,0.07406184852815523,2,8,3,1500.0
throughput,gamma_r_scale,0.050277777777777775,0.03886439704954511,3,8,3,1500.0
throughput,congestion_tolerance,0.02299999999999998,0.022664487912716625,4,8,3,1500.0
throughput,alpha,0.01255555555555554,0.01335368816673208,5,8,3,1500.0
throughput,lambda_loss,0.010333333333333333,0.01267056470235415,6,8,3,1500.0
throughput,sector_decay,0.0,0.0,7,8,3,1500.0
throughput,sector_pull,0.0,0.0,8,8,3,1500.0
throughput,sector_reward,0.0,0.0,9,8,3,1500.0
throughput_per_robot,p_new_multiplier,0.0037074652777777783,0.0011240642407754314,1,8,3,1500.0
throughput_per_robot,n_robots,0.0028281250000000003,0.002560755061190058,2,8,3,1500.0
throughput_per_robot,gamma_r_scale,0.0007873263888888887,0.0005183854512621344,3,8,3,1500.0
throughput_per_robot,congestion_tolerance,0.0002790798611111108,0.0002799849243411397,4,8,3,1500.0
throughput_per_robot,alpha,0.00019097222222222174,0.00021706249455677413,5,8,3,1500.0
throughput_per_robot,lambda_loss,0.00015364583333333343,0.00018282000156076726,6,8,3,1500.0
throughput_per_robot,sector_decay,0.0,0.0,7,8,3,1500.0
throughput_per_robot,sector_pull,0.0,0.0,8,8,3,1500.0
throughput_per_robot,sector_reward,0.0,0.0,9,8,3,1500.0
total_collisions,n_robots,19788.5,7338.585942733716,1,8,3,1500.0
total_collisions,gamma_r_scale,5007.25,4085.9852400546483,2,8,3,1500.0
total_collisions,congestion_tolerance,4823.916666666667,8171.215062900172,3,8,3,1500.0
total_collisions,p_new_multiplier,1877.5000000000002,2625.0759301187636,4,8,3,1500.0
total_collisions,alpha,257.33333333333326,396.9624597420315,5,8,3,1500.0
total_collisions,lambda_loss,249.25000000000017,282.63147137413984,6,8,3,1500.0
total_collisions,sector_decay,0.0,0.0,7,8,3,1500.0
total_collisions,sector_pull,0.0,0.0,8,8,3,1500.0
total_collisions,sector_reward,0.0,0.0,9,8,3,1500.0
total_completed_deposit,p_new_multiplier,350.5833333333333,100.37564860728588,1,8,3,1500.0
total_completed_deposit,n_robots,221.41666666666666,111.09277279223282,2,8,3,1500.0
total_completed_deposit,gamma_r_scale,75.41666666666666,58.29659557431767,3,8,3,1500.0
total_completed_deposit,congestion_tolerance,34.5,33.99673186907498,4,8,3,1500.0
total_completed_deposit,alpha,18.83333333333333,20.030532250098148,5,8,3,1500.0
total_completed_deposit,lambda_loss,15.499999999999995,19.005847053531234,6,8,3,1500.0
total_completed_deposit,sector_decay,0.0,0.0,7,8,3,1500.0
total_completed_deposit,sector_pull,0.0,0.0,8,8,3,1500.0
total_completed_deposit,sector_reward,0.0,0.0,9,8,3,1500.0
