output,parameter,S1,S1_conf,ST,ST_conf,samples,seeds,seconds
final_net_energy_per_robot,p_new_multiplier,0.3645649691442125,0.19984081056147854,0.5160505869615215,0.27572038521177705,64,2,1200.0
final_net_energy_per_robot,n_robots,0.5169004499319755,0.3452743637420693,0.7024436243450997,0.23529386672935854,64,2,1200.0
final_net_energy_per_robot,gamma_r_scale,0.016492618828967912,0.05562766452139433,0.023390198080910505,0.01391110115362958,64,2,1200.0
final_net_energy_per_robot,lambda_loss,-0.0076515199183338,0.029848405099984973,0.004093619319096432,0.001878646570716255,64,2,1200.0
final_net_energy_per_robot,alpha,-0.0009163404850887931,0.02024659906741786,0.003524863558068056,0.0024798984778732695,64,2,1200.0
final_net_energy_per_robot,congestion_tolerance,-0.019995318790042342,0.02577706360427829,0.0045463235499139856,0.0023646987775890766,64,2,1200.0
throughput_per_robot,p_new_multiplier,0.4067714608129573,0.19833290505393897,0.5145615904981968,0.28551765498184245,64,2,1200.0
throughput_per_robot,n_robots,0.5037515137845445,0.29566416347962476,0.664021926105008,0.21400628027248672,64,2,1200.0
throughput_per_robot,gamma_r_scale,0.013408493025412362,0.060538104290650895,0.02031664771150886,0.012144027508869316,64,2,1200.0
throughput_per_robot,lambda_loss,-0.00583651651005081,0.028989377791243012,0.004531226964944389,0.0022097482778359614,64,2,1200.0
throughput_per_robot,alpha,-0.0004720689596525696,0.021883491446288587,0.0038808711223507646,0.0026327718008687696,64,2,1200.0
throughput_per_robot,congestion_tolerance,-0.016454964059827652,0.02460029716204072,0.004813302965375367,0.00272367963943222,64,2,1200.0
mean_collision_probability,p_new_multiplier,0.01144141535704553,0.015257713799584993,0.0027942713857881498,0.0011226956959096183,64,2,1200.0
mean_collision_probability,n_robots,0.7770703397328865,0.26597205448479483,0.7716007608233142,0.31450966764271926,64,2,1200.0
mean_collision_probability,gamma_r_scale,0.1497805527869036,0.12221230302441566,0.22304766009387,0.11350606747342731,64,2,1200.0
mean_collision_probability,lambda_loss,-0.0011330047178677951,0.006677552229553618,0.0003468933234834778,0.00020793245377920697,64,2,1200.0
mean_collision_probability,alpha,0.0011028226309326115,0.006316313064535189,0.0002544330312627312,0.0001621541335437043,64,2,1200.0
mean_collision_probability,congestion_tolerance,-0.003071713833039451,0.06093754919902054,0.03420259854742469,0.01857024425606921,64,2,1200.0
mean_weighted_search_rest_ratio,p_new_multiplier,0.02882497843865768,0.320542405644409,0.6955868857873616,0.3039374865316017,64,2,1200.0
mean_weighted_search_rest_ratio,n_robots,0.042898194488715256,0.3138888614198671,0.54177028576979,0.3012357837288414,64,2,1200.0
mean_weighted_search_rest_ratio,gamma_r_scale,0.10075566965163553,0.35866812854384794,0.46422451228831024,0.19834309893182334,64,2,1200.0
mean_weighted_search_rest_ratio,lambda_loss,0.2476301183057887,0.31450658052376623,0.7742656370032995,0.3845944999358588,64,2,1200.0
mean_weighted_search_rest_ratio,alpha,-0.0403918935980121,0.2796388626216711,0.5005667961568955,0.29801570329742844,64,2,1200.0
mean_weighted_search_rest_ratio,congestion_tolerance,0.043555098438357115,0.10816958419747416,0.0942938072679882,0.052993322190873486,64,2,1200.0
final_strategy_entropy,p_new_multiplier,0.21926595095775486,0.3819234608326614,0.9607183654272542,0.34234526577407737,64,2,1200.0
final_strategy_entropy,n_robots,0.07304302894487726,0.16408976316889753,0.2668950833838478,0.14522615269204045,64,2,1200.0
final_strategy_entropy,gamma_r_scale,-0.000584987532303603,0.10460537461575142,0.1530608473237018,0.08396338228571786,64,2,1200.0
final_strategy_entropy,lambda_loss,-0.018832407424330563,0.1804405654288997,0.5107833955874517,0.2070879285038651,64,2,1200.0
final_strategy_entropy,alpha,-0.015723663612694984,0.07594573131664785,0.08050406572446407,0.05432763922997115,64,2,1200.0
final_strategy_entropy,congestion_tolerance,0.04198701839956121,0.18377013397403555,0.16718568319409982,0.09389137489043478,64,2,1200.0
mean_strategy_entropy_final_window,p_new_multiplier,0.1453568656971424,0.3158916508391077,0.8131340936994992,0.30933303714295424,64,2,1200.0
mean_strategy_entropy_final_window,n_robots,0.10908241463131817,0.17320252210047712,0.26546021837959427,0.12809521711575522,64,2,1200.0
mean_strategy_entropy_final_window,gamma_r_scale,0.025337063777518137,0.07416647503106777,0.14543233654103638,0.09465975353338117,64,2,1200.0
mean_strategy_entropy_final_window,lambda_loss,0.07527215712238237,0.27592588484113073,0.6707600411380327,0.25286366588637454,64,2,1200.0
mean_strategy_entropy_final_window,alpha,0.01573894480443058,0.06542423697966127,0.06465831205725824,0.041269247588389894,64,2,1200.0
mean_strategy_entropy_final_window,congestion_tolerance,0.02341085227792343,0.1754731605847289,0.23218642260486108,0.13485300859247298,64,2,1200.0
