sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance
0,0.337890625,64,1.3203125,4.34375,0.82421875,0.05007812500000001
1,2.740234375,64,1.3203125,4.34375,0.82421875,0.05007812500000001
2,0.337890625,32,1.3203125,4.34375,0.82421875,0.05007812500000001
3,0.337890625,64,1.2421875,4.34375,0.82421875,0.05007812500000001
4,0.337890625,64,1.3203125,1.46875,0.82421875,0.05007812500000001
5,0.337890625,64,1.3203125,4.34375,0.97265625,0.05007812500000001
6,0.337890625,64,1.3203125,4.34375,0.82421875,0.030390625000000004
7,2.740234375,32,1.2421875,1.46875,0.97265625,0.030390625000000004
8,2.212890625,128,0.8203125,2.34375,0.57421875,0.095078125
9,0.865234375,128,0.8203125,2.34375,0.57421875,0.095078125
10,2.212890625,64,0.8203125,2.34375,0.57421875,0.095078125
11,2.212890625,128,0.7421875,2.34375,0.57421875,0.095078125
12,2.212890625,128,0.8203125,3.46875,0.57421875,0.095078125
13,2.212890625,128,0.8203125,2.34375,0.72265625,0.095078125
14,2.212890625,128,0.8203125,2.34375,0.57421875,0.075390625
15,0.865234375,64,0.7421875,3.46875,0.72265625,0.075390625
16,3.150390625,32,1.0703125,3.34375,0.69921875,0.07257812500000001
17,3.677734375,32,1.0703125,3.34375,0.69921875,0.07257812500000001
18,3.150390625,128,1.0703125,3.34375,0.69921875,0.07257812500000001
19,3.150390625,32,0.9921875,3.34375,0.69921875,0.07257812500000001
20,3.150390625,32,1.0703125,4.46875,0.69921875,0.07257812500000001
21,3.150390625,32,1.0703125,3.34375,0.59765625,0.07257812500000001
22,3.150390625,32,1.0703125,3.34375,0.69921875,0.09789062500000001
23,3.677734375,128,0.9921875,4.46875,0.59765625,0.09789062500000001
24,1.275390625,64,0.5703125,1.34375,0.94921875,0.027578125000000002
25,1.802734375,64,0.5703125,1.34375,0.94921875,0.027578125000000002
26,1.275390625,64,0.5703125,1.34375,0.94921875,0.027578125000000002
27,1.275390625,64,1.4921875,1.34375,0.94921875,0.027578125000000002
28,1.275390625,64,0.5703125,2.46875,0.94921875,0.027578125000000002
29,1.275390625,64,0.5703125,1.34375,0.84765625,0.027578125000000002
30,1.275390625,64,0.5703125,1.34375,0.94921875,0.052890625000000004
31,1.802734375,64,1.4921875,2.46875,0.84765625,0.052890625000000004
32,1.744140625,8,0.9453125,1.84375,0.88671875,0.038828125000000005
33,3.208984375,8,0.9453125,1.84375,0.88671875,0.038828125000000005
34,1.744140625,128,0.9453125,1.84375,0.88671875,0.038828125000000005
35,1.744140625,8,0.8671875,1.84375,0.88671875,0.038828125000000005
36,1.744140625,8,0.9453125,3.96875,0.88671875,0.038828125000000005
37,1.744140625,8,0.9453125,1.84375,0.53515625,0.038828125000000005
38,1.744140625,8,0.9453125,1.84375,0.88671875,0.04164062500000001
39,3.208984375,128,0.8671875,3.96875,0.53515625,0.04164062500000001
40,3.619140625,64,1.4453125,3.84375,0.63671875,0.083828125
41,1.333984375,64,1.4453125,3.84375,0.63671875,0.083828125
42,3.619140625,64,1.4453125,3.84375,0.63671875,0.083828125
43,3.619140625,64,1.3671875,3.84375,0.63671875,0.083828125
44,3.619140625,64,1.4453125,1.96875,0.63671875,0.083828125
45,3.619140625,64,1.4453125,3.84375,0.78515625,0.083828125
46,3.619140625,64,1.4453125,3.84375,0.63671875,0.086640625
47,1.333984375,64,1.3671875,1.96875,0.78515625,0.086640625
48,2.681640625,32,0.6953125,2.84375,0.51171875,0.06132812500000001
49,2.271484375,32,0.6953125,2.84375,0.51171875,0.06132812500000001
50,2.681640625,16,0.6953125,2.84375,0.51171875,0.06132812500000001
51,2.681640625,32,1.1171875,2.84375,0.51171875,0.06132812500000001
52,2.681640625,32,0.6953125,2.96875,0.51171875,0.06132812500000001
53,2.681640625,32,0.6953125,2.84375,0.91015625,0.06132812500000001
54,2.681640625,32,0.6953125,2.84375,0.51171875,0.064140625
55,2.271484375,16,1.1171875,2.96875,0.91015625,0.064140625
56,0.806640625,128,1.1953125,4.84375,0.76171875,0.016328125
57,0.396484375,128,1.1953125,4.84375,0.76171875,0.016328125
