output,parameter,S1,S1_conf,ST,ST_conf,samples,seeds,seconds
final_net_energy_per_robot,p_new_multiplier,0.18687994787653892,0.27962565327884903,0.4359178252109758,0.35379289824429255,32,1,800.0
final_net_energy_per_robot,n_robots,0.7059768071077115,0.6593973881817833,0.595383789168892,0.2415062360310024,32,1,800.0
final_net_energy_per_robot,gamma_r_scale,0.052482489846499995,0.10953821264165246,0.027273104647533776,0.017390342654861547,32,1,800.0
final_net_energy_per_robot,lambda_loss,0.0041852194425627655,0.043931605934875516,0.006000469778394116,0.004356752242703413,32,1,800.0
final_net_energy_per_robot,alpha,0.014527158838310588,0.03576179714032952,0.007884158565125522,0.006050717339386091,32,1,800.0
final_net_energy_per_robot,congestion_tolerance,-0.02755129392204162,0.07513963603605599,0.007013288190656741,0.006059487946619871,32,1,800.0
throughput_per_robot,p_new_multiplier,0.2537827729889936,0.38323481229166334,0.44525487657918417,0.3474542944411668,32,1,800.0
throughput_per_robot,n_robots,0.6698682185422615,0.6158308683461705,0.5404146019149438,0.23826362870197387,32,1,800.0
throughput_per_robot,gamma_r_scale,0.06312049095297462,0.09956140945598294,0.02353514137558028,0.013265400520130052,32,1,800.0
throughput_per_robot,lambda_loss,0.006326355390691111,0.04842288823769875,0.005786770020324708,0.004137481175570219,32,1,800.0
throughput_per_robot,alpha,0.01745292504665398,0.04058941861220322,0.008533356986593172,0.007718501111956529,32,1,800.0
throughput_per_robot,congestion_tolerance,-0.06370494591049222,0.09671188868864007,0.011593940977263068,0.009017016173820669,32,1,800.0
mean_collision_probability,p_new_multiplier,-0.022968249621101094,0.030555278621269007,0.0044747715614969425,0.0030776447119323603,32,1,800.0
mean_collision_probability,n_robots,1.0290021889600587,0.2890158799688171,1.2229583852108503,0.35959022520754086,32,1,800.0
mean_collision_probability,gamma_r_scale,0.06272414013141533,0.185771198699694,0.15144825425410444,0.1047190120149524,32,1,800.0
mean_collision_probability,lambda_loss,0.0005622926601667304,0.009469477236564387,0.0002854566736520859,0.00018342424027371437,32,1,800.0
mean_collision_probability,alpha,0.0009029349871722487,0.0058621238750191885,0.00015531807866037,0.00011358146088567718,32,1,800.0
mean_collision_probability,congestion_tolerance,0.02189273447897973,0.1013725219715499,0.04712983913531032,0.0318171420339334,32,1,800.0
mean_weighted_search_rest_ratio,p_new_multiplier,0.2818172693282416,0.21931712956966692,0.5126767301707102,0.5157348911090921,32,1,800.0
mean_weighted_search_rest_ratio,n_robots,0.5238919865730527,0.9705694903755855,0.773562128259122,0.4462150086336162,32,1,800.0
mean_weighted_search_rest_ratio,gamma_r_scale,0.2394327770690817,0.3014956870051474,0.6554921577752275,0.5485789859630726,32,1,800.0
mean_weighted_search_rest_ratio,lambda_loss,-0.04525996697180211,0.12331452351936499,0.16747683219598197,0.17178512891385472,32,1,800.0
mean_weighted_search_rest_ratio,alpha,-0.10644056470925618,0.18391656098773798,0.1314285132517072,0.13709598256395786,32,1,800.0
mean_weighted_search_rest_ratio,congestion_tolerance,-0.0504004950333181,0.12794560055803444,0.190726096758568,0.2698232077985141,32,1,800.0
final_strategy_entropy,p_new_multiplier,-0.037846411117507035,0.3022660621904656,0.26872039767438777,0.1330971210065558,32,1,800.0
final_strategy_entropy,n_robots,0.33288641909343936,0.27077156159361254,0.3786689440799237,0.3662020626290165,32,1,800.0
final_strategy_entropy,gamma_r_scale,-0.06827025080229587,0.10425501690303508,0.10284241288333221,0.08845422996951796,32,1,800.0
final_strategy_entropy,lambda_loss,0.5704070273947585,0.30734377561260984,0.8064531089341579,0.3738049619035906,32,1,800.0
final_strategy_entropy,alpha,0.027525587381649366,0.11489110224918665,0.05410344722747666,0.03913291558461109,32,1,800.0
final_strategy_entropy,congestion_tolerance,-0.08901559739838712,0.1413170791345492,0.22754997784741796,0.17684334676160052,32,1,800.0
mean_strategy_entropy_final_window,p_new_multiplier,0.15037461400584679,0.23049731561046854,0.2023154922464005,0.16794441659714204,32,1,800.0
mean_strategy_entropy_final_window,n_robots,0.09462848029820374,0.1861449541454016,0.12415276959382925,0.08037251966785933,32,1,800.0
mean_strategy_entropy_final_window,gamma_r_scale,-0.06292136112188497,0.07444478652855031,0.03680686642179409,0.03351021457085956,32,1,800.0
mean_strategy_entropy_final_window,lambda_loss,0.7770117581630974,0.34635866454555575,0.8559716539058628,0.3765538807556111,32,1,800.0
mean_strategy_entropy_final_window,alpha,0.032316892939349286,0.10747794071010797,0.04263105685086164,0.03347990763483656,32,1,800.0
mean_strategy_entropy_final_window,congestion_tolerance,-0.05001694077694002,0.07403267613492096,0.028320326314281663,0.01972906613411717,32,1,800.0
