sample_id,seed,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
0,7,0.42578125,32,1.203125,3.1875,0.5703125,0.09296875,-3027.390625,0.0012109375,0.02566183646342681,1.2690471832600965,0.9693392964586163,0.6729534159467816
1,7,3.23828125,32,1.203125,3.1875,0.5703125,0.09296875,3179.078125,0.0048046875,0.022729053911216206,1.2501116459637138,0.7364202096760042,0.7645598913529082
3,7,0.42578125,32,1.484375,3.1875,0.5703125,0.09296875,-3067.6875,0.00125,0.032489416202555764,1.3373342673943183,0.9662903799339527,0.6413526924267086
2,7,0.42578125,64,1.203125,3.1875,0.5703125,0.09296875,-4028.69921875,0.000625,0.05287616350450598,1.2778287483543256,1.130340551839872,0.6427749772190703
4,7,0.42578125,32,1.203125,1.1875,0.5703125,0.09296875,-3578.7109375,0.000859375,0.025574472724746337,1.2705574638742967,0.9949413348597049,1.0759330570899863
5,7,0.42578125,32,1.203125,3.1875,0.6953125,0.09296875,-2996.734375,0.0012109375,0.025463677557732312,1.2381220688777113,0.9664957512266005,0.6868075041881297
6,7,0.42578125,32,1.203125,3.1875,0.5703125,0.09578125,-3027.390625,0.0012109375,0.02566183646342681,1.2690471832600965,0.9693392964586163,0.6729534159467816
7,7,3.23828125,64,1.484375,1.1875,0.6953125,0.09578125,2074.93359375,0.00423828125,0.06035765314526716,1.2450616643052255,1.200801017283426,1.2191333710742085
8,7,2.30078125,128,0.703125,1.1875,0.8203125,0.047968750000000004,-1622.70703125,0.0018359375,0.05459311557290608,1.2254461543723638,1.172356647703586,1.2098900292985857
10,7,2.30078125,32,0.703125,1.1875,0.8203125,0.047968750000000004,932.9375,0.0034375,0.013506244884923966,1.2516350050185436,1.2197786614659032,1.245034192669991
9,7,1.36328125,128,0.703125,1.1875,0.8203125,0.047968750000000004,-2905.2734375,0.001025390625,0.05434447130838624,1.2122710892884063,1.098465349079212,1.1581883631326213
11,7,2.30078125,128,0.984375,1.1875,0.8203125,0.047968750000000004,-1328.896484375,0.001787109375,0.06893283015248039,1.2100140645272983,1.203615416910269,1.2344536052414947
12,7,2.30078125,128,0.703125,3.1875,0.8203125,0.047968750000000004,-1500.60546875,0.001904296875,0.05441479759363757,1.225486860267514,0.8341739614173864,0.7486898546137204
13,7,2.30078125,128,0.703125,1.1875,0.9453125,0.047968750000000004,-1714.0859375,0.001787109375,0.054785606635289606,1.2224429775095134,1.1788837955855724,1.2154328281831352
14,7,2.30078125,128,0.703125,1.1875,0.8203125,0.05078125000000001,-1737.61328125,0.001826171875,0.05597723954040186,1.2314930340380408,1.1262565759121523,1.1735513196231637
15,7,1.36328125,32,0.984375,3.1875,0.9453125,0.05078125000000001,-1150.6796875,0.002265625,0.02001166288484548,1.1014553238815157,0.8557835413644379,0.7987509560484151
16,7,3.23828125,8,1.453125,4.1875,0.9453125,0.025468750000000002,9306.25,0.00796875,0.0036054762757312046,1.3503704312911156,0.9683639846056329,0.990724660349145
17,7,2.30078125,8,1.453125,4.1875,0.9453125,0.025468750000000002,9309.625,0.00796875,0.003595038255487202,1.3413107675985965,0.9439321387106524,0.9713191854429593
19,7,3.23828125,8,0.734375,4.1875,0.9453125,0.025468750000000002,9311.03125,0.00796875,0.0018591643439632966,1.3672266670109334,0.9652291634609576,0.9945334475944871
20,7,3.23828125,8,1.453125,4.1875,0.9453125,0.025468750000000002,9306.25,0.00796875,0.0036054762757312046,1.3503704312911156,0.9683639846056329,0.990724660349145
