sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance,final_net_energy_per_robot,throughput_per_robot,mean_collision_probability,mean_weighted_search_rest_ratio,final_strategy_entropy,mean_strategy_entropy_final_window
0,0.42578125,32,1.203125,3.1875,0.5703125,0.09296875,-3027.390625,0.0012109375,0.0256618364634268,1.2690471832600965,0.9693392964586164,0.6729534159467816
1,3.23828125,32,1.203125,3.1875,0.5703125,0.09296875,3179.078125,0.0048046875,0.0227290539112162,1.2501116459637138,0.7364202096760042,0.7645598913529082
2,0.42578125,64,1.203125,3.1875,0.5703125,0.09296875,-4028.69921875,0.000625,0.0528761635045059,1.2778287483543256,1.130340551839872,0.6427749772190703
3,0.42578125,32,1.484375,3.1875,0.5703125,0.09296875,-3067.6875,0.00125,0.0324894162025557,1.3373342673943185,0.9662903799339528,0.6413526924267086
4,0.42578125,32,1.203125,1.1875,0.5703125,0.09296875,-3578.7109375,0.000859375,0.0255744727247463,1.270557463874297,0.9949413348597048,1.0759330570899863
5,0.42578125,32,1.203125,3.1875,0.6953125,0.09296875,-2996.734375,0.0012109375,0.0254636775577323,1.2381220688777113,0.9664957512266004,0.6868075041881297
6,0.42578125,32,1.203125,3.1875,0.5703125,0.09578125,-3027.390625,0.0012109375,0.0256618364634268,1.2690471832600965,0.9693392964586164,0.6729534159467816
7,3.23828125,64,1.484375,1.1875,0.6953125,0.09578125,2074.93359375,0.00423828125,0.0603576531452671,1.2450616643052257,1.200801017283426,1.2191333710742085
8,2.30078125,128,0.703125,1.1875,0.8203125,0.047968750000000004,-1622.70703125,0.0018359375,0.054593115572906,1.2254461543723638,1.172356647703586,1.2098900292985857
9,1.36328125,128,0.703125,1.1875,0.8203125,0.047968750000000004,-2905.2734375,0.001025390625,0.0543444713083862,1.2122710892884063,1.098465349079212,1.1581883631326213
10,2.30078125,32,0.703125,1.1875,0.8203125,0.047968750000000004,932.9375,0.0034375,0.0135062448849239,1.2516350050185436,1.2197786614659032,1.245034192669991
11,2.30078125,128,0.984375,1.1875,0.8203125,0.047968750000000004,-1328.896484375,0.001787109375,0.0689328301524803,1.2100140645272983,1.203615416910269,1.2344536052414947
12,2.30078125,128,0.703125,3.1875,0.8203125,0.047968750000000004,-1500.60546875,0.001904296875,0.0544147975936375,1.225486860267514,0.8341739614173864,0.7486898546137204
13,2.30078125,128,0.703125,1.1875,0.9453125,0.047968750000000004,-1714.0859375,0.001787109375,0.0547856066352896,1.2224429775095134,1.1788837955855724,1.2154328281831352
14,2.30078125,128,0.703125,1.1875,0.8203125,0.05078125000000001,-1737.61328125,0.001826171875,0.0559772395404018,1.2314930340380408,1.1262565759121523,1.1735513196231635
15,1.36328125,32,0.984375,3.1875,0.9453125,0.05078125000000001,-1150.6796875,0.002265625,0.0200116628848454,1.1014553238815157,0.8557835413644379,0.7987509560484151
16,3.23828125,8,1.453125,4.1875,0.9453125,0.025468750000000002,9306.25,0.00796875,0.0036054762757312,1.3503704312911156,0.9683639846056328,0.990724660349145
17,2.30078125,8,1.453125,4.1875,0.9453125,0.025468750000000002,9309.625,0.00796875,0.0035950382554872,1.3413107675985965,0.9439321387106524,0.9713191854429593
18,3.23828125,64,1.453125,4.1875,0.9453125,0.025468750000000002,2373.16015625,0.0042578125,0.0550055605640533,1.3027296906855428,0.8528804800578548,0.8788617260180819
19,3.23828125,8,0.734375,4.1875,0.9453125,0.025468750000000002,9311.03125,0.00796875,0.0018591643439632,1.3672266670109334,0.9652291634609576,0.9945334475944873
20,3.23828125,8,1.453125,4.1875,0.9453125,0.025468750000000002,9306.25,0.00796875,0.0036054762757312,1.3503704312911156,0.9683639846056328,0.990724660349145
21,3.23828125,8,1.453125,4.1875,0.8203125,0.025468750000000002,9306.25,0.00796875,0.0036054762757312,1.3511204307063351,0.9336515662560092,0.9519985102793542
22,3.23828125,8,1.453125,4.1875,0.9453125,0.02828125,9306.25,0.00796875,0.0036054762757312,1.3503704312911156,0.9683639846056328,0.990724660349145
23,2.30078125,64,0.734375,4.1875,0.8203125,0.02828125,-1248.99609375,0.00201171875,0.0280101007460235,1.3294493772316094,0.6883081888947719,0.6762667680742915
24,1.36328125,64,0.953125,2.1875,0.6953125,0.07046875000000001,-2736.921875,0.00134765625,0.0405874096448673,1.171002419481561,0.7644318101865419,0.7093278927639315
25,0.42578125,64,0.953125,2.1875,0.6953125,0.07046875000000001,-4164.72265625,0.00046875,0.0407197146502923,1.1167281879314204,0.6979174045855379,0.5772637867920509
26,1.36328125,128,0.953125,2.1875,0.6953125,0.07046875000000001,-2857.666015625,0.001259765625,0.0797866512306927,1.212998410433452,0.8078499441904784,0.6766016977861358
27,1.36328125,64,1.234375,2.1875,0.6953125,0.07046875000000001,-2107.62890625,0.00171875,0.0520940031775285,1.151802150640565,0.8286901844270327,0.7480010711171775
28,1.36328125,64,0.953125,2.1875,0.6953125,0.07046875000000001,-2736.921875,0.00134765625,0.0405874096448673,1.171002419481561,0.7644318101865419,0.7093278927639315
29,1.36328125,64,0.953125,2.1875,0.5703125,0.07046875000000001,-2578.2109375,0.0014453125,0.0405546399924151,1.2485263275856175,0.7929146626319146,0.6651917827487281
30,1.36328125,64,0.953125,2.1875,0.6953125,0.07328125,-2736.921875,0.00134765625,0.0405874096448673,1.171002419481561,0.7644318101865419,0.7093278927639315
31,0.42578125,128,1.234375,2.1875,0.5703125,0.07328125,-3914.6875,0.000625,0.1043237576386696,1.193625204250241,0.9222377865417892,0.6071994333417075
32,1.83203125,32,0.578125,2.6875,0.6328125,0.08171875,-1168.046875,0.002265625,0.0118055458603515,1.2315273025316853,0.7957951850311938,0.7525252428811513
33,2.76953125,32,0.578125,2.6875,0.6328125,0.08171875,1477.15625,0.0037890625,0.0111623614837087,1.250442541856976,0.7822127832022076,0.7709118446034239
34,1.83203125,32,0.578125,2.6875,0.6328125,0.08171875,-1168.046875,0.002265625,0.0118055458603515,1.2315273025316853,0.7957951850311938,0.7525252428811513
35,1.83203125,32,0.609375,2.6875,0.6328125,0.08171875,-397.0859375,0.0026953125,0.0121719686486329,1.1783982473310426,0.8569923328957783,0.7823931951119559
36,1.83203125,32,0.578125,3.6875,0.6328125,0.08171875,-433.8671875,0.002734375,0.0118487450711191,1.211531062908752,0.6711546466646844,0.6479560870018131
37,1.83203125,32,0.578125,2.6875,0.7578125,0.08171875,-347.25,0.0027734375,0.0117816800050114,1.1797716185182583,0.7234073691316663,0.7163695467434799
38,1.83203125,32,0.578125,2.6875,0.6328125,0.06203125000000001,-1168.046875,0.002265625,0.0118055458603515,1.2315273025316853,0.7957951850311938,0.7525252428811513
39,2.76953125,32,0.609375,3.6875,0.7578125,0.06203125000000001,1843.1484375,0.0040625,0.0120022255422221,1.259247710328069,0.7712426851512978,0.7543067139787607
40,3.70703125,64,1.078125,4.6875,0.8828125,0.03671875,1800.91015625,0.00396484375,0.041982293645258,1.2098728134449857,0.7950415220232274,0.7530615437585149
41,0.89453125,64,1.078125,4.6875,0.8828125,0.03671875,-2790.63671875,0.0009765625,0.0397962616807976,1.24684326891484,0.6677043160999063,0.5815376759486819
