output,parameter,S1,S1_conf,ST,ST_conf,samples,seeds,seconds
final_net_energy_per_robot,p_new_multiplier,0.4099968308491254,0.07912542975082228,0.5168307478566667,0.09273444998060486,512,5,1500.0
final_net_energy_per_robot,n_robots,0.46535431846642483,0.09730898272001968,0.5575683721349741,0.07678843192081727,512,5,1500.0
final_net_energy_per_robot,gamma_r_scale,0.01451399474171879,0.01695397893307978,0.021156287854398305,0.003996476317816158,512,5,1500.0
final_net_energy_per_robot,lambda_loss,0.0018985950144638033,0.005132365871754015,0.0013227743511539888,0.0002597831284233003,512,5,1500.0
final_net_energy_per_robot,alpha,0.00039696479273797013,0.004491428203315607,0.0010557982552295614,0.00021640486209644107,512,5,1500.0
final_net_energy_per_robot,congestion_tolerance,-0.00029848096515538834,0.006347982415684136,0.0032306533096929874,0.0008729818134428726,512,5,1500.0
throughput_per_robot,p_new_multiplier,0.4402961966755998,0.07083391120247642,0.5225321253714265,0.09225308626232812,512,5,1500.0
throughput_per_robot,n_robots,0.45462885558998173,0.09795315826628138,0.5314898682997267,0.07173982954453893,512,5,1500.0
throughput_per_robot,gamma_r_scale,0.014298393960174224,0.016148289504826448,0.02014847558169873,0.0038864028173566886,512,5,1500.0
throughput_per_robot,lambda_loss,0.0018480557713169063,0.00528129892651825,0.0015494578024545422,0.0002949254644294557,512,5,1500.0
throughput_per_robot,alpha,0.0005823000474009881,0.004324144218351912,0.001179780496253222,0.0002496458063682604,512,5,1500.0
throughput_per_robot,congestion_tolerance,-0.0024998391043770944,0.005808428964974175,0.002780356697143418,0.0006534149203954111,512,5,1500.0
mean_collision_probability,p_new_multiplier,0.0038746558679327624,0.009470145923651488,0.006743902788672521,0.0018463924055875133,512,5,1500.0
mean_collision_probability,n_robots,0.725752165826256,0.09179265604365199,0.794519222738892,0.09070019996298836,512,5,1500.0
mean_collision_probability,gamma_r_scale,0.164724539297299,0.05146735356542784,0.2145981579295371,0.03295041152088141,512,5,1500.0
mean_collision_probability,lambda_loss,0.0003708239754680846,0.0017972497397298673,0.00022735855841690588,3.8380787716295954e-05,512,5,1500.0
mean_collision_probability,alpha,0.00011989671639834784,0.0010028132362732945,9.189861721632123e-05,2.133449164653505e-05,512,5,1500.0
mean_collision_probability,congestion_tolerance,0.017773486964470436,0.023106495563743005,0.03653998141934367,0.008574102369956638,512,5,1500.0
mean_weighted_search_rest_ratio,p_new_multiplier,0.20989328364796844,0.07776716411195489,0.5027566231013487,0.08693691185686328,512,5,1500.0
mean_weighted_search_rest_ratio,n_robots,0.15175305407450487,0.09678925153158802,0.42682029021369416,0.08335747202143687,512,5,1500.0
mean_weighted_search_rest_ratio,gamma_r_scale,0.013224180051159787,0.0715330350893126,0.3771891514310454,0.07230434904775483,512,5,1500.0
mean_weighted_search_rest_ratio,lambda_loss,0.27137109911366375,0.07394181152732422,0.5165192859254158,0.08111299132119107,512,5,1500.0
mean_weighted_search_rest_ratio,alpha,0.050413260032356175,0.07213977644022572,0.2896253068777151,0.045300974909917816,512,5,1500.0
mean_weighted_search_rest_ratio,congestion_tolerance,-0.02052736054501154,0.043790823935428116,0.13492225135136832,0.02849489575603023,512,5,1500.0
final_strategy_entropy,p_new_multiplier,0.4694202695914896,0.12086125990158335,0.7728929455072823,0.1062654737177436,512,5,1500.0
final_strategy_entropy,n_robots,0.06567236841331539,0.07031757286716392,0.3040474863850059,0.06853653805491393,512,5,1500.0
final_strategy_entropy,gamma_r_scale,0.012857467859006946,0.03273542039200573,0.08094363477876956,0.013686260742967542,512,5,1500.0
final_strategy_entropy,lambda_loss,0.1213112837214167,0.05328812588852665,0.36105768442146147,0.06719836129267408,512,5,1500.0
final_strategy_entropy,alpha,0.027096642265079334,0.0293723470277496,0.04375744798867357,0.007891066412290029,512,5,1500.0
final_strategy_entropy,congestion_tolerance,0.01745147744515353,0.03136781193107367,0.06714406440229166,0.015531994484936806,512,5,1500.0
mean_strategy_entropy_final_window,p_new_multiplier,0.3964525894994917,0.1136379126063748,0.744632110145793,0.11628498585770446,512,5,1500.0
mean_strategy_entropy_final_window,n_robots,0.049452455025319385,0.06754253062061387,0.29444581158073446,0.0796049792992463,512,5,1500.0
mean_strategy_entropy_final_window,gamma_r_scale,0.020855849583898713,0.03965391479123437,0.09488820232372162,0.02065621034927805,512,5,1500.0
mean_strategy_entropy_final_window,lambda_loss,0.19147236148339133,0.08380793806269053,0.49289767733472795,0.0842897580933835,512,5,1500.0
mean_strategy_entropy_final_window,alpha,0.025871267737382853,0.026126850464703456,0.048904296461658524,0.010624150304812027,512,5,1500.0
mean_strategy_entropy_final_window,congestion_tolerance,0.03648708800539826,0.05354400921915633,0.12648263840683996,0.031982444099731853,512,5,1500.0
