sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance
0,0.260986328125,32,1.4541015625,4.96484375,0.72900390625,0.06088867187500001
1,2.553466796875,32,1.4541015625,4.96484375,0.72900390625,0.06088867187500001
2,0.260986328125,128,1.4541015625,4.96484375,0.72900390625,0.06088867187500001
3,0.260986328125,32,0.8779296875,4.96484375,0.72900390625,0.06088867187500001
4,0.260986328125,32,1.4541015625,4.66015625,0.72900390625,0.06088867187500001
5,0.260986328125,32,1.4541015625,4.96484375,0.98876953125,0.06088867187500001
6,0.260986328125,32,1.4541015625,4.96484375,0.72900390625,0.08795898437500001
7,0.260986328125,128,0.8779296875,4.66015625,0.98876953125,0.08795898437500001
8,2.553466796875,32,0.8779296875,4.66015625,0.98876953125,0.08795898437500001
9,2.553466796875,128,1.4541015625,4.66015625,0.98876953125,0.08795898437500001
10,2.553466796875,128,0.8779296875,4.96484375,0.98876953125,0.08795898437500001
11,2.553466796875,128,0.8779296875,4.66015625,0.72900390625,0.08795898437500001
12,2.553466796875,128,0.8779296875,4.66015625,0.98876953125,0.06088867187500001
13,2.553466796875,128,0.8779296875,4.66015625,0.98876953125,0.08795898437500001
14,2.135986328125,128,0.9541015625,2.96484375,0.97900390625,0.015888671875000003
15,0.678466796875,128,0.9541015625,2.96484375,0.97900390625,0.015888671875000003
16,2.135986328125,64,0.9541015625,2.96484375,0.97900390625,0.015888671875000003
17,2.135986328125,128,1.3779296875,2.96484375,0.97900390625,0.015888671875000003
18,2.135986328125,128,0.9541015625,2.66015625,0.97900390625,0.015888671875000003
19,2.135986328125,128,0.9541015625,2.96484375,0.73876953125,0.015888671875000003
20,2.135986328125,128,0.9541015625,2.96484375,0.97900390625,0.04295898437500001
21,2.135986328125,64,1.3779296875,2.66015625,0.73876953125,0.04295898437500001
22,0.678466796875,128,1.3779296875,2.66015625,0.73876953125,0.04295898437500001
23,0.678466796875,64,0.9541015625,2.66015625,0.73876953125,0.04295898437500001
24,0.678466796875,64,1.3779296875,2.96484375,0.73876953125,0.04295898437500001
25,0.678466796875,64,1.3779296875,2.66015625,0.97900390625,0.04295898437500001
26,0.678466796875,64,1.3779296875,2.66015625,0.73876953125,0.015888671875000003
27,0.678466796875,64,1.3779296875,2.66015625,0.73876953125,0.04295898437500001
28,3.073486328125,8,1.2041015625,3.96484375,0.85400390625,0.038388671875
29,3.490966796875,8,1.2041015625,3.96484375,0.85400390625,0.038388671875
30,3.073486328125,32,1.2041015625,3.96484375,0.85400390625,0.038388671875
31,3.073486328125,8,1.1279296875,3.96484375,0.85400390625,0.038388671875
32,3.073486328125,8,1.2041015625,1.66015625,0.85400390625,0.038388671875
33,3.073486328125,8,1.2041015625,3.96484375,0.61376953125,0.038388671875
34,3.073486328125,8,1.2041015625,3.96484375,0.85400390625,0.020458984375000003
35,3.073486328125,32,1.1279296875,1.66015625,0.61376953125,0.020458984375000003
36,3.490966796875,8,1.1279296875,1.66015625,0.61376953125,0.020458984375000003
37,3.490966796875,32,1.2041015625,1.66015625,0.61376953125,0.020458984375000003
38,3.490966796875,32,1.1279296875,3.96484375,0.61376953125,0.020458984375000003
39,3.490966796875,32,1.1279296875,1.66015625,0.85400390625,0.020458984375000003
40,3.490966796875,32,1.1279296875,1.66015625,0.61376953125,0.038388671875
41,3.490966796875,32,1.1279296875,1.66015625,0.61376953125,0.020458984375000003
42,1.198486328125,64,0.7041015625,1.96484375,0.60400390625,0.083388671875
43,1.615966796875,64,0.7041015625,1.96484375,0.60400390625,0.083388671875
44,1.198486328125,64,0.7041015625,1.96484375,0.60400390625,0.083388671875
45,1.198486328125,64,0.6279296875,1.96484375,0.60400390625,0.083388671875
46,1.198486328125,64,0.7041015625,3.66015625,0.60400390625,0.083388671875
47,1.198486328125,64,0.7041015625,1.96484375,0.86376953125,0.083388671875
48,1.198486328125,64,0.7041015625,1.96484375,0.60400390625,0.065458984375
49,1.198486328125,64,0.6279296875,3.66015625,0.86376953125,0.065458984375
50,1.615966796875,64,0.6279296875,3.66015625,0.86376953125,0.065458984375
51,1.615966796875,64,0.7041015625,3.66015625,0.86376953125,0.065458984375
52,1.615966796875,64,0.6279296875,1.96484375,0.86376953125,0.065458984375
53,1.615966796875,64,0.6279296875,3.66015625,0.60400390625,0.065458984375
54,1.615966796875,64,0.6279296875,3.66015625,0.86376953125,0.083388671875
55,1.615966796875,64,0.6279296875,3.66015625,0.86376953125,0.065458984375
56,1.667236328125,16,0.8291015625,1.46484375,0.54150390625,0.072138671875
57,3.959716796875,16,0.8291015625,1.46484375,0.54150390625,0.072138671875
58,1.667236328125,16,0.8291015625,1.46484375,0.54150390625,0.072138671875
59,1.667236328125,16,1.0029296875,1.46484375,0.54150390625,0.072138671875
60,1.667236328125,16,0.8291015625,2.16015625,0.54150390625,0.072138671875
61,1.667236328125,16,0.8291015625,1.46484375,0.55126953125,0.072138671875
62,1.667236328125,16,0.8291015625,1.46484375,0.54150390625,0.076708984375
63,1.667236328125,16,1.0029296875,2.16015625,0.55126953125,0.076708984375
64,3.959716796875,16,1.0029296875,2.16015625,0.55126953125,0.076708984375
65,3.959716796875,16,0.8291015625,2.16015625,0.55126953125,0.076708984375
66,3.959716796875,16,1.0029296875,1.46484375,0.55126953125,0.076708984375
67,3.959716796875,16,1.0029296875,2.16015625,0.54150390625,0.076708984375
68,3.959716796875,16,1.0029296875,2.16015625,0.55126953125,0.072138671875
69,3.959716796875,16,1.0029296875,2.16015625,0.55126953125,0.076708984375
70,3.542236328125,64,1.3291015625,3.46484375,0.79150390625,0.027138671875
71,2.084716796875,64,1.3291015625,3.46484375,0.79150390625,0.027138671875
72,3.542236328125,64,1.3291015625,3.46484375,0.79150390625,0.027138671875
73,3.542236328125,64,0.5029296875,3.46484375,0.79150390625,0.027138671875
74,3.542236328125,64,1.3291015625,4.16015625,0.79150390625,0.027138671875
75,3.542236328125,64,1.3291015625,3.46484375,0.80126953125,0.027138671875
76,3.542236328125,64,1.3291015625,3.46484375,0.79150390625,0.031708984375000006
77,3.542236328125,64,0.5029296875,4.16015625,0.80126953125,0.031708984375000006
78,2.084716796875,64,0.5029296875,4.16015625,0.80126953125,0.031708984375000006
79,2.084716796875,64,1.3291015625,4.16015625,0.80126953125,0.031708984375000006
80,2.084716796875,64,0.5029296875,3.46484375,0.80126953125,0.031708984375000006
81,2.084716796875,64,0.5029296875,4.16015625,0.79150390625,0.031708984375000006
82,2.084716796875,64,0.5029296875,4.16015625,0.80126953125,0.027138671875
83,2.084716796875,64,0.5029296875,4.16015625,0.80126953125,0.031708984375000006
84,2.604736328125,64,0.5791015625,2.46484375,0.91650390625,0.049638671875000005
85,3.022216796875,64,0.5791015625,2.46484375,0.91650390625,0.049638671875000005
86,2.604736328125,128,0.5791015625,2.46484375,0.91650390625,0.049638671875000005
87,2.604736328125,64,0.7529296875,2.46484375,0.91650390625,0.049638671875000005
88,2.604736328125,64,0.5791015625,3.16015625,0.91650390625,0.049638671875000005
89,2.604736328125,64,0.5791015625,2.46484375,0.92626953125,0.049638671875000005
90,2.604736328125,64,0.5791015625,2.46484375,0.91650390625,0.054208984375000005
91,2.604736328125,128,0.7529296875,3.16015625,0.92626953125,0.054208984375000005
92,3.022216796875,64,0.7529296875,3.16015625,0.92626953125,0.054208984375000005
93,3.022216796875,128,0.5791015625,3.16015625,0.92626953125,0.054208984375000005
94,3.022216796875,128,0.7529296875,2.46484375,0.92626953125,0.054208984375000005
95,3.022216796875,128,0.7529296875,3.16015625,0.91650390625,0.054208984375000005
96,3.022216796875,128,0.7529296875,3.16015625,0.92626953125,0.049638671875000005
97,3.022216796875,128,0.7529296875,3.16015625,0.92626953125,0.054208984375000005
98,0.729736328125,128,1.0791015625,4.46484375,0.66650390625,0.09463867187500001
99,1.147216796875,128,1.0791015625,4.46484375,0.66650390625,0.09463867187500001
100,0.729736328125,32,1.0791015625,4.46484375,0.66650390625,0.09463867187500001
101,0.729736328125,128,1.2529296875,4.46484375,0.66650390625,0.09463867187500001
102,0.729736328125,128,1.0791015625,1.16015625,0.66650390625,0.09463867187500001
103,0.729736328125,128,1.0791015625,4.46484375,0.67626953125,0.09463867187500001
104,0.729736328125,128,1.0791015625,4.46484375,0.66650390625,0.099208984375
105,0.729736328125,32,1.2529296875,1.16015625,0.67626953125,0.099208984375
106,1.147216796875,128,1.2529296875,1.16015625,0.67626953125,0.099208984375
107,1.147216796875,32,1.0791015625,1.16015625,0.67626953125,0.099208984375
108,1.147216796875,32,1.2529296875,4.46484375,0.67626953125,0.099208984375
109,1.147216796875,32,1.2529296875,1.16015625,0.66650390625,0.099208984375
110,1.147216796875,32,1.2529296875,1.16015625,0.67626953125,0.09463867187500001
111,1.147216796875,32,1.2529296875,1.16015625,0.67626953125,0.099208984375
112,0.964111328125,16,0.5166015625,3.21484375,0.94775390625,0.07776367187500001
113,3.725341796875,16,0.5166015625,3.21484375,0.94775390625,0.07776367187500001
114,0.964111328125,16,0.5166015625,3.21484375,0.94775390625,0.07776367187500001
115,0.964111328125,16,1.0654296875,3.21484375,0.94775390625,0.07776367187500001
116,0.964111328125,16,0.5166015625,3.91015625,0.94775390625,0.07776367187500001
117,0.964111328125,16,0.5166015625,3.21484375,0.64501953125,0.07776367187500001
118,0.964111328125,16,0.5166015625,3.21484375,0.94775390625,0.082333984375
119,0.964111328125,16,1.0654296875,3.91015625,0.64501953125,0.082333984375
120,3.725341796875,16,1.0654296875,3.91015625,0.64501953125,0.082333984375
121,3.725341796875,16,0.5166015625,3.91015625,0.64501953125,0.082333984375
122,3.725341796875,16,1.0654296875,3.21484375,0.64501953125,0.082333984375
123,3.725341796875,16,1.0654296875,3.91015625,0.94775390625,0.082333984375
124,3.725341796875,16,1.0654296875,3.91015625,0.64501953125,0.07776367187500001
125,3.725341796875,16,1.0654296875,3.91015625,0.64501953125,0.082333984375
126,2.839111328125,64,1.0166015625,1.21484375,0.69775390625,0.032763671875000004
127,1.850341796875,64,1.0166015625,1.21484375,0.69775390625,0.032763671875000004
128,2.839111328125,64,1.0166015625,1.21484375,0.69775390625,0.032763671875000004
129,2.839111328125,64,0.5654296875,1.21484375,0.69775390625,0.032763671875000004
130,2.839111328125,64,1.0166015625,1.91015625,0.69775390625,0.032763671875000004
131,2.839111328125,64,1.0166015625,1.21484375,0.89501953125,0.032763671875000004
132,2.839111328125,64,1.0166015625,1.21484375,0.69775390625,0.037333984375000004
133,2.839111328125,64,0.5654296875,1.91015625,0.89501953125,0.037333984375000004
134,1.850341796875,64,0.5654296875,1.91015625,0.89501953125,0.037333984375000004
135,1.850341796875,64,1.0166015625,1.91015625,0.89501953125,0.037333984375000004
136,1.850341796875,64,0.5654296875,1.21484375,0.89501953125,0.037333984375000004
137,1.850341796875,64,0.5654296875,1.91015625,0.69775390625,0.037333984375000004
138,1.850341796875,64,0.5654296875,1.91015625,0.89501953125,0.032763671875000004
139,1.850341796875,64,0.5654296875,1.91015625,0.89501953125,0.037333984375000004
140,3.776611328125,32,0.7666015625,4.21484375,0.57275390625,0.010263671875
141,2.787841796875,32,0.7666015625,4.21484375,0.57275390625,0.010263671875
142,3.776611328125,128,0.7666015625,4.21484375,0.57275390625,0.010263671875
143,3.776611328125,32,0.8154296875,4.21484375,0.57275390625,0.010263671875
144,3.776611328125,32,0.7666015625,2.91015625,0.57275390625,0.010263671875
145,3.776611328125,32,0.7666015625,4.21484375,0.77001953125,0.010263671875
146,3.776611328125,32,0.7666015625,4.21484375,0.57275390625,0.014833984375000001
147,3.776611328125,128,0.8154296875,2.91015625,0.77001953125,0.014833984375000001
148,2.787841796875,32,0.8154296875,2.91015625,0.77001953125,0.014833984375000001
149,2.787841796875,128,0.7666015625,2.91015625,0.77001953125,0.014833984375000001
150,2.787841796875,128,0.8154296875,4.21484375,0.77001953125,0.014833984375000001
151,2.787841796875,128,0.8154296875,2.91015625,0.57275390625,0.014833984375000001
152,2.787841796875,128,0.8154296875,2.91015625,0.77001953125,0.010263671875
153,2.787841796875,128,0.8154296875,2.91015625,0.77001953125,0.014833984375000001
154,1.901611328125,128,1.2666015625,2.21484375,0.82275390625,0.05526367187500001
155,0.912841796875,128,1.2666015625,2.21484375,0.82275390625,0.05526367187500001
156,1.901611328125,64,1.2666015625,2.21484375,0.82275390625,0.05526367187500001
157,1.901611328125,128,1.3154296875,2.21484375,0.82275390625,0.05526367187500001
158,1.901611328125,128,1.2666015625,4.91015625,0.82275390625,0.05526367187500001
159,1.901611328125,128,1.2666015625,2.21484375,0.52001953125,0.05526367187500001
160,1.901611328125,128,1.2666015625,2.21484375,0.82275390625,0.05983398437500001
161,1.901611328125,64,1.3154296875,4.91015625,0.52001953125,0.05983398437500001
162,0.912841796875,128,1.3154296875,4.91015625,0.52001953125,0.05983398437500001
163,0.912841796875,64,1.2666015625,4.91015625,0.52001953125,0.05983398437500001
164,0.912841796875,64,1.3154296875,2.21484375,0.52001953125,0.05983398437500001
165,0.912841796875,64,1.3154296875,4.91015625,0.82275390625,0.05983398437500001
166,0.912841796875,64,1.3154296875,4.91015625,0.52001953125,0.05526367187500001
167,0.912841796875,64,1.3154296875,4.91015625,0.52001953125,0.05983398437500001
168,1.432861328125,64,1.1416015625,2.71484375,0.76025390625,0.089013671875
169,2.319091796875,64,1.1416015625,2.71484375,0.76025390625,0.089013671875
170,1.432861328125,128,1.1416015625,2.71484375,0.76025390625,0.089013671875
171,1.432861328125,64,0.9404296875,2.71484375,0.76025390625,0.089013671875
172,1.432861328125,64,1.1416015625,1.41015625,0.76025390625,0.089013671875
173,1.432861328125,64,1.1416015625,2.71484375,0.83251953125,0.089013671875
174,1.432861328125,64,1.1416015625,2.71484375,0.76025390625,0.071083984375
175,1.432861328125,128,0.9404296875,1.41015625,0.83251953125,0.071083984375
176,2.319091796875,64,0.9404296875,1.41015625,0.83251953125,0.071083984375
177,2.319091796875,128,1.1416015625,1.41015625,0.83251953125,0.071083984375
178,2.319091796875,128,0.9404296875,2.71484375,0.83251953125,0.071083984375
179,2.319091796875,128,0.9404296875,1.41015625,0.76025390625,0.071083984375
180,2.319091796875,128,0.9404296875,1.41015625,0.83251953125,0.089013671875
181,2.319091796875,128,0.9404296875,1.41015625,0.83251953125,0.071083984375
182,3.307861328125,128,0.6416015625,4.71484375,0.51025390625,0.04401367187500001
183,0.444091796875,128,0.6416015625,4.71484375,0.51025390625,0.04401367187500001
184,3.307861328125,64,0.6416015625,4.71484375,0.51025390625,0.04401367187500001
185,3.307861328125,128,1.4404296875,4.71484375,0.51025390625,0.04401367187500001
186,3.307861328125,128,0.6416015625,3.41015625,0.51025390625,0.04401367187500001
187,3.307861328125,128,0.6416015625,4.71484375,0.58251953125,0.04401367187500001
188,3.307861328125,128,0.6416015625,4.71484375,0.51025390625,0.026083984375
189,3.307861328125,64,1.4404296875,3.41015625,0.58251953125,0.026083984375
190,0.444091796875,128,1.4404296875,3.41015625,0.58251953125,0.026083984375
191,0.444091796875,64,0.6416015625,3.41015625,0.58251953125,0.026083984375
192,0.444091796875,64,1.4404296875,4.71484375,0.58251953125,0.026083984375
193,0.444091796875,64,1.4404296875,3.41015625,0.51025390625,0.026083984375
194,0.444091796875,64,1.4404296875,3.41015625,0.58251953125,0.04401367187500001
195,0.444091796875,64,1.4404296875,3.41015625,0.58251953125,0.026083984375
196,2.370361328125,32,1.3916015625,1.71484375,0.63525390625,0.021513671875
197,3.256591796875,32,1.3916015625,1.71484375,0.63525390625,0.021513671875
198,2.370361328125,32,1.3916015625,1.71484375,0.63525390625,0.021513671875
199,2.370361328125,32,1.1904296875,1.71484375,0.63525390625,0.021513671875
200,2.370361328125,32,1.3916015625,4.41015625,0.63525390625,0.021513671875
201,2.370361328125,32,1.3916015625,1.71484375,0.70751953125,0.021513671875
202,2.370361328125,32,1.3916015625,1.71484375,0.63525390625,0.04858398437500001
203,2.370361328125,32,1.1904296875,4.41015625,0.70751953125,0.04858398437500001
204,3.256591796875,32,1.1904296875,4.41015625,0.70751953125,0.04858398437500001
205,3.256591796875,32,1.3916015625,4.41015625,0.70751953125,0.04858398437500001
206,3.256591796875,32,1.1904296875,1.71484375,0.70751953125,0.04858398437500001
207,3.256591796875,32,1.1904296875,4.41015625,0.63525390625,0.04858398437500001
208,3.256591796875,32,1.1904296875,4.41015625,0.70751953125,0.021513671875
209,3.256591796875,32,1.1904296875,4.41015625,0.70751953125,0.04858398437500001
210,0.495361328125,64,0.8916015625,3.71484375,0.88525390625,0.066513671875
211,1.381591796875,64,0.8916015625,3.71484375,0.88525390625,0.066513671875
212,0.495361328125,64,0.8916015625,3.71484375,0.88525390625,0.066513671875
213,0.495361328125,64,0.6904296875,3.71484375,0.88525390625,0.066513671875
214,0.495361328125,64,0.8916015625,2.41015625,0.88525390625,0.066513671875
215,0.495361328125,64,0.8916015625,3.71484375,0.95751953125,0.066513671875
216,0.495361328125,64,0.8916015625,3.71484375,0.88525390625,0.093583984375
217,0.495361328125,64,0.6904296875,2.41015625,0.95751953125,0.093583984375
218,1.381591796875,64,0.6904296875,2.41015625,0.95751953125,0.093583984375
219,1.381591796875,64,0.8916015625,2.41015625,0.95751953125,0.093583984375
220,1.381591796875,64,0.6904296875,3.71484375,0.95751953125,0.093583984375
221,1.381591796875,64,0.6904296875,2.41015625,0.88525390625,0.093583984375
222,1.381591796875,64,0.6904296875,2.41015625,0.95751953125,0.066513671875
223,1.381591796875,64,0.6904296875,2.41015625,0.95751953125,0.093583984375
224,0.612548828125,32,1.0478515625,2.33984375,0.61962890625,0.04682617187500001
